Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class,Device Model_OnePlus 9,Device Model_Samsung Galaxy S21,Device Model_Xiaomi Mi 11,Device Model_iPhone 12,Battery_per_App_Usage,Data_per_App_Usage,App_Screen_Ratio,Usage_Intensity,Age_Group,Digital_Footprint
0,516,8.7,2857,83,2189,53,1,5,0,0,0,0,5.5261,4.234,59.2423,42828,3,2.6941
1,68,1.6,450,14,111,30,0,1,0,0,0,1,6.5217,1.6087,42.236,952,1,0.3085
0,64,1.1,572,10,161,42,1,1,1,0,0,0,8.8,2.4769,57.6577,640,2,0.3626
0,539,8.4,2796,89,2415,26,0,5,1,0,0,0,5.1778,4.4722,64.0904,47971,1,2.8027
0,428,7.0,2306,75,1144,22,0,4,0,0,1,0,5.3753,2.6667,61.0556,32100,0,1.9443
1,325,7.1,2269,64,1053,56,0,4,0,0,0,1,6.9601,3.2301,45.7103,20800,3,1.7233
0,522,11.9,2798,85,1663,28,1,5,0,0,1,0,5.3499,3.1797,43.8287,44370,1,2.4738
0,309,7.5,2292,77,1253,57,1,4,0,0,1,0,7.3935,4.0419,41.1451,23793,3,1.7843
0,79,1.9,493,14,128,55,0,1,0,0,1,0,6.1625,1.6,41.3613,1106,3,0.3481
0,545,11.5,2911,87,1717,21,1,5,0,0,1,0,5.3315,3.1447,47.3501,47415,0,2.5716
0,459,7.0,1982,67,1091,43,0,4,0,1,0,0,4.3087,2.3717,65.4779,30753,2,1.8667
1,225,4.0,1420,48,917,56,0,3,0,0,0,1,6.2832,4.0575,56.1097,10800,3,1.2179
1,257,4.5,1705,57,912,55,0,3,0,0,0,1,6.6085,3.5349,56.9845,14649,3,1.3647
0,134,4.0,773,35,449,28,1,2,0,0,1,0,5.7259,3.3259,33.4165,4690,1,0.6622
1,516,10.2,2932,98,1547,31,0,5,0,0,0,1,5.6712,2.9923,50.5387,50568,1,2.462
0,82,1.7,558,16,284,29,1,1,0,0,0,0,6.7229,3.4217,47.9532,1312,1,0.4373
0,452,7.2,1808,64,1090,45,1,4,0,1,0,0,3.9912,2.4062,62.6907,28928,3,1.7965
1,521,9.0,2902,97,1701,37,0,5,0,0,0,1,5.5594,3.2586,57.8246,50537,2,2.5221
0,457,6.3,2347,66,1082,22,0,4,0,0,0,0,5.1245,2.3624,72.4247,30162,0,1.9817
0,31,1.1,585,11,208,50,1,1,0,0,1,0,18.2812,6.5,27.9279,341,3,0.3306
1,47,2.0,476,14,125,39,0,1,0,0,0,1,9.9167,2.6042,23.3831,658,2,0.2877
0,229,5.7,1305,43,985,23,1,3,0,0,1,0,5.6739,4.2826,40.1051,9847,0,1.2134
0,34,2.0,558,14,122,54,1,1,0,0,1,0,15.9429,3.4857,16.9154,476,3,0.2921
0,173,2.5,678,29,301,30,1,2,0,0,0,0,3.8966,1.7299,68.9243,5017,1,0.6364
0,78,1.8,333,17,138,51,1,1,0,1,0,0,4.2152,1.7468,43.0939,1326,3,0.297
0,230,5.7,1254,52,989,34,1,3,0,0,0,0,5.4286,4.2814,40.2802,11960,1,1.1997
0,565,10.6,2475,99,1603,51,1,5,1,0,0,0,4.3728,2.8322,53.2516,55935,3,2.4137
1,172,2.8,1035,22,549,41,0,2,0,0,0,1,5.9827,3.1734,61.21,3784,2,0.8533
0,330,7.2,2363,77,1133,21,1,4,0,0,1,0,7.139,3.423,45.7698,25410,0,1.7951
0,39,1.8,368,11,105,19,0,1,0,0,1,0,9.2,2.625,21.547,429,0,0.2302
0,223,4.5,1311,56,695,33,1,3,0,0,0,0,5.8527,3.1027,49.4457,12488,1,1.0893
0,404,7.4,2081,63,1352,44,0,4,0,0,0,0,5.1383,3.3383,54.5209,25452,2,1.9123
0,151,2.4,1003,25,392,39,0,2,0,1,0,0,6.5987,2.5789,62.6556,3775,2,0.7446
0,34,1.5,345,11,276,44,0,1,0,1,0,0,9.8571,7.8857,22.5166,374,2,0.2827
0,137,3.3,839,31,348,34,1,2,0,0,1,0,6.0797,2.5217,41.3897,4247,1,0.6488
0,301,6.2,2053,75,1303,45,0,4,0,1,0,0,6.798,4.3146,48.4702,22575,3,1.7111
0,116,2.1,912,39,307,40,1,2,0,0,0,0,7.7949,2.6239,54.9763,4524,2,0.6216
0,291,4.1,1474,46,827,32,1,3,0,0,0,0,5.0479,2.8322,70.8029,13386,1,1.3103
1,84,1.4,501,16,284,56,1,1,0,0,0,1,5.8941,3.3412,59.5745,1344,3,0.4216
1,134,2.5,1125,24,367,35,0,2,0,0,0,1,8.3333,2.7185,53.3865,3216,2,0.7469
0,411,7.5,2169,72,1083,58,0,4,0,1,0,0,5.2646,2.6286,54.727,29592,3,1.8457
0,326,7.2,2243,73,1454,50,0,4,0,0,1,0,6.8593,4.4465,45.215,23798,3,1.8769
1,550,9.5,2916,91,1946,20,0,5,0,0,0,1,5.2922,3.5318,57.8339,50050,0,2.6733
0,516,12.0,2406,82,1968,28,1,5,1,0,0,0,4.6538,3.8066,42.9642,42312,1,2.4549
0,59,1.2,361,18,293,25,1,1,0,0,0,0,6.0167,4.8833,48.7603,1062,1,0.3366
0,225,5.5,1526,44,875,50,1,3,1,0,0,0,6.7522,3.8717,40.8348,9900,3,1.2365
0,41,1.1,389,15,136,53,0,1,0,0,0,0,9.2619,3.2381,36.9369,615,3,0.253
0,183,4.1,1210,45,738,19,0,3,1,0,0,0,6.5761,4.0109,44.5255,8235,0,1.0059
0,174,2.5,929,37,565,32,1,2,0,0,0,0,5.3086,3.2286,69.3227,6438,1,0.8276
0,274,4.2,1781,52,934,28,0,3,0,0,1,0,6.4764,3.3964,65.0831,14248,1,1.4273
0,166,2.8,1113,28,360,25,0,2,0,0,1,0,6.6647,2.1557,59.0747,4648,1,0.7936
0,66,1.2,585,12,264,36,0,1,0,0,1,0,8.7313,3.9403,54.5455,792,2,0.4116
0,152,2.7,642,38,596,55,0,2,0,0,0,0,4.1961,3.8954,56.0886,5776,3,0.7074
0,54,1.4,403,17,278,23,1,1,0,0,0,0,7.3273,5.0545,38.2979,918,0,0.3363
0,187,5.5,1754,55,711,50,1,3,0,0,1,0,9.3298,3.7819,33.9383,10285,3,1.1835
0,216,6.0,1641,41,889,39,1,3,1,0,0,0,7.5622,4.0968,35.9401,8856,2,1.2655
0,95,3.8,718,26,459,41,1,2,1,0,0,0,7.4792,4.7812,24.9344,2470,2,0.5826
0,488,8.6,2447,84,2344,19,0,5,0,0,1,0,5.0041,4.7935,56.6783,40992,0,2.5724
0,295,5.1,1483,45,748,27,1,3,0,0,0,0,5.0101,2.527,57.7299,13275,1,1.2884
0,136,3.2,818,33,404,42,0,2,0,1,0,0,5.9708,2.9489,42.3676,4488,2,0.6625
0,471,7.9,2156,76,1324,54,1,4,0,0,1,0,4.5678,2.8051,59.5449,35796,3,2.0382
1,121,3.2,651,34,596,39,0,2,0,0,0,1,5.3361,4.8852,37.6947,4114,2,0.6585
1,75,1.2,409,13,281,18,0,1,0,0,0,1,5.3816,3.6974,61.9835,975,0,0.3746
1,220,5.2,1631,49,909,27,1,3,0,0,0,1,7.3801,4.1131,42.2265,10780,1,1.2769
0,82,1.6,590,13,124,28,1,1,0,1,0,0,7.1084,1.494,50.9317,1066,1,0.3839
0,97,2.7,1018,37,428,41,0,2,0,0,0,0,10.3878,4.3673,35.7934,3589,2,0.6737
0,388,6.6,2085,71,1150,45,1,4,0,1,0,0,5.3599,2.9563,58.6989,27548,3,1.806
0,529,8.7,2484,89,2189,39,1,5,1,0,0,0,4.6868,4.1302,60.7348,47081,2,2.5912
0,584,10.0,2541,99,2391,49,1,5,0,0,0,0,4.3436,4.0872,58.3417,57816,3,2.7831
0,529,8.1,2686,96,1924,35,0,5,0,0,0,0,5.0679,3.6302,65.2281,50784,2,2.5526
0,227,5.1,1702,57,714,21,0,3,0,0,0,0,7.4649,3.1316,44.4227,12939,0,1.2342
0,535,11.8,2858,99,2378,50,0,5,0,1,0,0,5.3321,4.4366,45.3006,52965,3,2.8019
1,332,7.4,2149,68,1321,20,1,4,0,0,0,1,6.4535,3.967,44.8043,22576,0,1.8022
0,252,4.2,1439,45,667,50,1,3,0,0,0,0,5.6877,2.6364,59.8575,11340,3,1.1693
0,125,2.5,678,34,465,31,0,2,0,0,1,0,5.381,3.6905,49.8008,4250,1,0.6218
0,97,3.3,751,39,412,36,1,2,0,0,1,0,7.6633,4.2041,29.3051,3783,2,0.5781
0,540,10.8,2923,90,1886,40,0,5,0,0,0,0,5.403,3.4861,49.9537,48600,2,2.6349
0,320,7.2,2056,69,1226,52,1,4,0,0,1,0,6.405,3.8193,44.3828,22080,3,1.713
0,176,3.6,1193,30,458,40,1,2,0,0,0,0,6.7401,2.5876,48.7535,5280,2,0.8763
0,79,1.0,313,18,139,42,0,1,0,1,0,0,3.9125,1.7375,78.2178,1422,2,0.2924
0,83,1.6,303,19,285,51,0,1,0,0,1,0,3.6071,3.3929,51.5528,1577,3,0.3542
1,555,11.3,2528,90,1856,55,1,5,0,0,0,1,4.5468,3.3381,49.0716,49950,3,2.516
0,66,1.7,375,16,216,39,0,1,0,1,0,0,5.597,3.2239,38.5965,1056,2,0.3222
0,237,4.5,1368,42,868,24,1,3,0,0,1,0,5.7479,3.6471,52.5499,9954,0,1.201
0,497,9.7,2876,94,2076,18,0,5,0,1,0,0,5.7751,4.1687,51.1843,46718,0,2.6234
0,516,11.1,2429,91,1796,53,0,5,0,0,0,0,4.6983,3.4739,46.4446,46956,3,2.3937
0,219,5.2,1510,42,655,50,1,3,0,0,1,0,6.8636,2.9773,42.0345,9198,3,1.133
0,448,6.3,2044,71,1337,51,0,4,0,0,0,0,4.5523,2.9777,70.9984,31808,3,1.9675
1,156,2.2,896,37,429,57,1,2,0,0,0,1,5.707,2.7325,70.5882,5772,3,0.732
0,68,1.1,528,12,201,29,0,1,0,1,0,0,7.6522,2.913,61.2613,816,1,0.3706
1,524,11.2,2417,90,2069,29,1,5,0,0,0,1,4.6038,3.941,46.744,47160,1,2.5124
1,188,5.3,1281,45,974,35,0,3,0,0,0,1,6.7778,5.1534,35.4049,8460,2,1.1324
0,443,7.4,2289,73,1026,33,0,4,0,1,0,0,5.1554,2.3108,59.7841,32339,1,1.9165
0,52,1.6,385,19,234,24,0,1,0,0,1,0,7.2642,4.4151,32.2981,988,0,0.3093
0,228,4.2,1677,58,823,56,0,3,1,0,0,0,7.3231,3.5939,54.1568,13224,3,1.2712
0,149,3.7,873,34,459,51,0,2,0,0,0,0,5.82,3.06,40.1617,5066,3,0.7247
1,523,9.4,2583,92,1539,21,0,5,0,0,0,1,4.9294,2.937,55.5792,48116,0,2.3539
0,42,1.6,315,19,207,52,1,1,0,1,0,0,7.3256,4.814,26.087,798,3,0.2584
0,120,2.0,741,38,396,56,1,2,0,0,0,0,6.124,3.2727,59.7015,4560,3,0.6068
0,329,7.5,2277,72,1185,27,1,4,1,0,0,0,6.9,3.5909,43.8083,23688,1,1.7855
0,68,1.5,364,10,102,31,1,1,0,0,1,0,5.2754,1.4783,45.0331,680,1,0.2762
0,158,3.4,893,36,493,32,0,2,0,0,1,0,5.6164,3.1006,46.3343,5688,1,0.76
0,86,1.7,439,19,136,54,0,1,0,0,1,0,5.046,1.5632,50.2924,1634,3,0.345
0,339,7.8,2102,71,1062,51,0,4,0,0,1,0,6.1824,3.1235,43.4059,24069,3,1.6945
0,304,6.5,2375,79,1493,51,0,4,0,1,0,0,7.7869,4.8951,46.6974,24016,3,1.8998
0,131,2.4,859,26,305,40,0,2,0,0,1,0,6.5076,2.3106,54.3568,3406,2,0.6282
0,64,1.6,540,19,262,35,1,1,0,1,0,0,8.3077,4.0308,39.7516,1216,2,0.3924
0,53,1.9,526,15,112,42,0,1,0,0,1,0,9.7407,2.0741,27.7487,795,2,0.3092
0,442,7.7,2067,69,1440,45,0,4,0,0,0,0,4.6659,3.2506,57.3281,30498,3,2.0064
1,32,2.0,469,18,139,22,0,1,0,0,0,1,14.2121,4.2121,15.9204,576,0,0.2659
0,278,4.8,1238,48,851,43,1,3,0,0,1,0,4.4373,3.0502,57.7963,13344,2,1.2193
0,540,8.4,2993,98,1540,49,1,5,0,0,1,0,5.5323,2.8466,64.2093,52920,3,2.5198
0,595,11.3,2968,88,2366,30,0,5,0,0,0,0,4.9799,3.9698,52.6083,52360,1,2.9342
0,35,1.5,467,10,158,58,0,1,0,0,0,0,12.9722,4.3889,23.1788,350,3,0.2778
0,225,5.4,1370,44,791,55,1,3,0,0,0,0,6.0619,3.5,41.5896,9900,3,1.1508
0,587,11.8,2431,90,1894,47,0,5,0,0,0,0,4.1344,3.2211,49.7036,52830,3,2.5523
0,92,3.7,1124,27,524,44,0,2,0,0,1,0,12.086,5.6344,24.7978,2484,2,0.7392
0,46,1.1,487,17,208,23,0,1,0,0,0,0,10.3617,4.4255,41.4414,782,0,0.3229
0,153,2.8,935,25,578,37,1,2,1,0,0,0,6.0714,3.7532,54.4484,3825,2,0.7997
1,368,6.6,1817,72,1406,27,1,4,0,0,0,1,4.9241,3.8103,55.6732,26496,1,1.7855
0,51,1.6,509,11,113,29,1,1,0,0,1,0,9.7885,2.1731,31.677,561,1,0.3006
0,279,5.2,1660,47,629,50,1,3,0,0,0,0,5.9286,2.2464,53.5509,13113,3,1.2731
0,255,5.4,1738,42,826,21,0,3,0,0,1,0,6.7891,3.2266,47.1349,10710,0,1.3379
0,193,5.7,1471,51,972,31,1,3,0,1,0,0,7.5825,5.0103,33.8004,9843,1,1.2035
0,207,5.7,1582,52,692,38,0,3,0,0,1,0,7.6058,3.3269,36.2522,10764,2,1.1519
1,539,11.9,2853,83,2007,55,0,5,0,0,0,1,5.2833,3.7167,45.2561,44737,3,2.6583
0,151,2.4,1124,38,571,33,0,2,1,0,0,0,7.3947,3.7566,62.6556,5738,1,0.8567
0,474,6.4,2109,68,1079,24,0,4,0,0,0,0,4.44,2.2716,73.947,32232,0,1.9294
1,544,9.2,2936,83,2416,47,1,5,0,0,0,1,5.3872,4.433,59.0662,45152,3,2.8582
1,73,1.2,308,15,275,39,1,1,0,0,0,1,4.1622,3.7162,60.3306,1095,2,0.3351
0,597,10.4,2984,91,1564,34,1,5,0,0,1,0,4.99,2.6154,57.3487,54327,1,2.6217
0,498,10.7,2738,94,1995,42,0,5,0,0,0,0,5.487,3.998,46.4986,46812,2,2.5465
1,402,7.8,2014,79,1088,34,1,4,0,0,0,1,4.9975,2.6998,51.4725,31758,1,1.7809
0,75,1.1,379,15,185,37,0,1,1,0,0,0,4.9868,2.4342,67.5676,1125,2,0.3261
1,130,2.0,602,21,589,30,1,2,0,0,0,1,4.5954,4.4962,64.6766,2730,1,0.6544
0,42,1.1,402,11,265,32,1,1,0,1,0,0,9.3488,6.1628,37.8378,462,1,0.3107
1,134,2.2,917,23,423,23,0,2,0,0,0,1,6.7926,3.1333,60.6335,3082,0,0.6999
0,79,1.9,477,13,161,24,0,1,0,0,0,0,5.9625,2.0125,41.3613,1027,0,0.356
1,432,7.2,1822,63,1127,59,1,4,0,0,0,1,4.2079,2.6028,59.9168,27216,3,1.7825
1,262,4.1,1287,52,997,36,0,3,0,0,0,1,4.8935,3.7909,63.747,13624,2,1.2674
0,473,6.4,2109,79,1300,23,1,4,0,1,0,0,4.4494,2.7426,73.791,37367,0,2.0162
0,202,4.7,1512,49,659,45,1,3,0,0,0,0,7.4483,3.2463,42.8875,9898,3,1.1069
0,215,4.4,1407,41,991,47,0,3,1,0,0,0,6.5139,4.588,48.7528,8815,3,1.2265
0,151,3.7,1116,32,320,41,1,2,1,0,0,0,7.3421,2.1053,40.7008,4832,2,0.7535
0,80,1.6,549,14,197,19,0,1,1,0,0,0,6.7778,2.4321,49.6894,1120,0,0.3961
0,126,2.8,971,32,431,35,1,2,0,0,1,0,7.6457,3.3937,44.8399,4032,2,0.7077
0,495,8.9,2920,84,2252,31,1,5,0,1,0,0,5.8871,4.5403,55.5556,41580,1,2.7053
1,127,3.7,1153,35,314,37,1,2,0,0,0,1,9.0078,2.4531,34.2318,4445,2,0.7234
0,88,1.3,327,11,262,22,0,1,0,0,1,0,3.6742,2.9438,67.1756,968,0,0.3613
0,69,1.6,463,16,146,27,0,1,0,0,0,0,6.6143,2.0857,42.8571,1104,1,0.3285
0,100,3.3,961,21,433,25,0,2,1,0,0,0,9.5149,4.2871,30.2115,2100,1,0.6617
0,301,6.5,2084,71,1421,29,0,4,0,0,1,0,6.9007,4.7053,46.2366,21371,1,1.7687
0,78,1.7,455,15,207,37,1,1,0,0,0,0,5.7595,2.6203,45.614,1170,2,0.3654
0,163,3.1,620,21,419,23,0,2,0,0,0,0,3.7805,2.5549,52.4116,3423,0,0.6475
0,539,9.3,2606,92,1990,41,0,5,1,0,0,0,4.8259,3.6852,57.8947,49588,2,2.569
0,278,4.6,1385,47,823,40,1,3,0,0,0,0,4.9642,2.9498,60.3037,13066,2,1.2572
0,451,6.1,2108,76,1434,25,1,4,0,1,0,0,4.6637,3.1726,73.8134,34276,1,2.0328
0,481,10.9,2752,86,2017,18,0,5,0,1,0,0,5.7095,4.1846,44.088,41366,0,2.5316
0,133,3.4,714,38,445,25,0,2,0,1,0,0,5.3284,3.3209,39.0029,5054,1,0.6392
0,41,1.1,588,10,246,22,0,1,0,0,1,0,14.0,5.8571,36.9369,410,0,0.3635
1,152,3.3,1175,29,461,42,1,2,0,0,0,1,7.6797,3.0131,45.9215,4408,2,0.8314
0,553,8.4,2559,89,2471,51,0,5,1,0,0,0,4.6191,4.4603,65.7551,49217,3,2.7693
1,402,6.9,2282,78,1397,40,0,4,0,0,0,1,5.6625,3.4665,58.1766,31356,2,1.9942
0,555,9.5,2855,95,1565,24,0,5,1,0,0,0,5.1349,2.8147,58.3596,52725,0,2.5087
1,499,9.6,2873,81,1805,52,1,5,0,0,0,1,5.746,3.61,51.9251,40419,3,2.5172
0,101,3.2,603,28,417,43,0,2,0,0,1,0,5.9118,4.0882,31.4642,2828,2,0.5374
0,433,6.8,2093,75,1300,32,0,4,1,0,0,0,4.8226,2.9954,63.583,32475,1,1.944
0,133,2.0,1007,31,417,32,0,2,1,0,0,0,7.5149,3.1119,66.1692,4123,1,0.7259
0,351,6.1,1941,79,1290,21,1,4,0,0,1,0,5.5142,3.6648,57.4468,27729,0,1.7521
0,532,10.7,2556,83,2148,53,1,5,0,1,0,0,4.7955,4.03,49.6732,44156,3,2.6039
0,92,2.5,690,31,563,27,0,2,1,0,0,0,7.4194,6.0538,36.6534,2852,1,0.6099
0,511,10.8,2712,97,2438,59,1,5,0,0,1,0,5.2969,4.7617,47.271,49567,3,2.737
0,384,7.0,2185,72,1376,59,0,4,0,0,1,0,5.6753,3.574,54.7789,27648,3,1.9232
1,193,5.2,1318,49,626,32,1,3,0,0,0,1,6.7938,3.2268,37.0441,9457,1,1.0138
0,132,3.8,649,25,368,41,0,2,0,1,0,0,4.8797,2.7669,34.6457,3300,2,0.585
0,360,7.3,1946,79,1164,50,0,4,0,1,0,0,5.3906,3.2244,49.2476,28440,3,1.7183
1,159,2.3,1083,32,526,38,0,2,0,0,0,1,6.7688,3.2875,68.8312,5088,2,0.8384
1,495,8.9,2855,91,2150,31,0,5,0,0,0,1,5.756,4.3347,55.5556,45045,1,2.6427
0,537,10.0,2720,83,1763,35,0,5,0,0,1,0,5.0558,3.277,53.6464,44571,2,2.5128
0,129,3.4,1059,27,580,36,1,2,1,0,0,0,8.1462,4.4615,37.8299,3483,2,0.8018
1,132,3.8,636,28,529,53,0,2,0,0,0,1,4.782,3.9774,34.6457,3696,3,0.6451
0,37,1.4,369,18,295,19,1,1,0,0,1,0,9.7105,7.7632,26.2411,666,0,0.3033
0,524,8.9,2549,88,1730,20,1,5,0,1,0,0,4.8552,3.2952,58.8103,46112,0,2.4207
0,425,6.9,2142,66,1130,19,1,4,1,0,0,0,5.0282,2.6526,61.5051,28050,0,1.8789
0,64,1.7,585,13,107,53,0,1,1,0,0,0,9.0,1.6462,37.4269,832,3,0.3453
1,573,10.8,2711,96,2118,33,1,5,0,0,0,1,4.723,3.6899,53.0065,55008,1,2.7122
0,45,1.7,302,16,191,57,1,1,0,0,0,0,6.5652,4.1522,26.3158,720,3,0.2526
0,564,11.7,2764,81,2133,37,1,5,0,0,1,0,4.892,3.7752,48.164,45684,2,2.7209
0,162,3.5,761,36,338,51,0,2,1,0,0,0,4.6687,2.0736,46.1538,5832,3,0.6605
0,451,6.5,2378,69,1341,44,0,4,0,1,0,0,5.2611,2.9668,69.278,31119,2,2.0857
0,30,1.3,479,16,253,35,0,1,1,0,0,0,15.4516,8.1613,22.9008,480,2,0.3115
0,202,5.0,1542,45,844,29,0,3,0,1,0,0,7.5961,4.1576,40.3194,9090,1,1.191
0,71,1.5,590,17,257,33,0,1,0,0,0,0,8.1944,3.5694,47.0199,1207,1,0.4188
0,314,6.2,2205,63,1066,19,0,4,0,0,0,0,7.0,3.3841,50.5636,19782,0,1.6887
0,168,4.0,866,22,581,50,1,2,0,0,1,0,5.1243,3.4379,41.8953,3696,3,0.803
0,75,1.9,537,13,230,58,1,1,0,0,0,0,7.0658,3.0263,39.267,975,3,0.3969
0,42,1.4,324,13,272,29,1,1,1,0,0,0,7.5349,6.3256,29.7872,546,1,0.2874
0,441,7.9,2332,78,1477,23,1,4,1,0,0,0,5.276,3.3416,55.7522,34398,0,2.1081
0,523,10.5,2460,99,1787,22,0,5,0,0,0,0,4.6947,3.4103,49.7621,51777,0,2.4122
0,100,2.4,982,31,478,48,1,2,0,0,1,0,9.7228,4.7327,41.4938,3100,3,0.6868
