App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,Operating System,Addicted,Usage_Intensity,Screen_Data_Ratio
197,4.6,1660,59,975,25,0,0,0,3.2702,0.00471311475409836
278,4.7,1484,55,917,21,0,0,0,4.12552,0.005119825708061003
46,2.0,457,14,105,58,0,0,0,0.21022,0.018867924528301886
593,10.2,2499,81,1616,38,1,0,1,14.81907,0.006307977736549165
32,1.2,580,19,153,20,1,0,0,0.1856,0.007792207792207792
122,3.3,755,30,573,26,0,1,0,0.9211,0.005749128919860627
522,11.2,2808,93,2328,24,0,0,1,14.65776,0.00480893087161872
473,6.4,2312,74,1400,40,0,0,1,10.93576,0.0045681655960028555
398,6.2,1851,77,1180,23,0,0,1,7.36698,0.005249788314987299
240,4.7,1464,52,708,56,1,0,0,3.5136,0.006629055007052186
576,10.1,2447,83,2323,33,0,0,1,14.09472,0.004345955249569707
120,2.1,720,39,392,43,0,0,0,0.864,0.0053435114503816794
152,3.7,993,32,429,18,0,0,0,1.50936,0.008604651162790699
138,2.4,837,21,572,56,1,0,0,1.15506,0.00418848167539267
502,10.9,2476,96,1935,39,0,0,1,12.42952,0.005630165289256198
558,8.4,2447,97,1594,22,1,0,1,13.65426,0.005266457680250784
138,3.6,889,25,323,27,1,0,0,1.22682,0.011111111111111112
580,8.2,2623,90,2262,49,0,0,1,15.2134,0.003623508616880247
589,8.7,2736,82,1997,49,0,0,1,16.11504,0.004354354354354354
452,7.4,2180,61,1417,54,1,0,1,9.8536,0.005218617771509168
245,5.9,1243,52,885,29,0,0,0,3.04535,0.006659142212189616
125,2.7,690,28,393,27,1,0,0,0.8625,0.006852791878172589
97,2.2,1101,38,375,53,0,0,0,1.06797,0.005851063829787235
516,8.7,2857,83,2189,53,1,0,1,14.74212,0.003972602739726027
68,1.6,450,14,111,30,0,1,0,0.306,0.014285714285714287
64,1.1,572,10,161,42,1,0,0,0.36608,0.006790123456790124
539,8.4,2796,89,2415,26,0,0,1,15.07044,0.0034768211920529805
428,7.0,2306,75,1144,22,0,0,1,9.86968,0.00611353711790393
325,7.1,2269,64,1053,56,0,1,1,7.37425,0.006736242884250474
522,11.9,2798,85,1663,28,1,0,1,14.60556,0.007151442307692308
309,7.5,2292,77,1253,57,1,0,1,7.08228,0.005980861244019139
79,1.9,493,14,128,55,0,0,0,0.38947,0.014728682170542635
545,11.5,2911,87,1717,21,1,0,1,15.86495,0.00669383003492433
459,7.0,1982,67,1091,43,0,0,1,9.09738,0.00641025641025641
225,4.0,1420,48,917,56,0,1,0,3.195,0.004357298474945534
257,4.5,1705,57,912,55,0,1,0,4.38185,0.004928806133625411
134,4.0,773,35,449,28,1,0,0,1.03582,0.008888888888888889
516,10.2,2932,98,1547,31,0,1,1,15.12912,0.006589147286821705
82,1.7,558,16,284,29,1,0,0,0.45756,0.0059649122807017545
452,7.2,1808,64,1090,45,1,0,1,8.17216,0.006599450045829514
521,9.0,2902,97,1701,37,0,1,1,15.11942,0.005287896592244419
457,6.3,2347,66,1082,22,0,0,1,10.72579,0.005817174515235457
31,1.1,585,11,208,50,1,0,0,0.18135,0.005263157894736843
47,2.0,476,14,125,39,0,1,0,0.22372,0.015873015873015872
229,5.7,1305,43,985,23,1,0,0,2.98845,0.0057809330628803245
34,2.0,558,14,122,54,1,0,0,0.18972,0.016260162601626018
173,2.5,678,29,301,30,1,0,0,1.17294,0.008278145695364239
78,1.8,333,17,138,51,1,0,0,0.25974,0.012949640287769784
230,5.7,1254,52,989,34,1,0,0,2.8842,0.005757575757575757
565,10.6,2475,99,1603,51,1,0,1,13.98375,0.006608478802992518
172,2.8,1035,22,549,41,0,1,0,1.7802,0.00509090909090909
330,7.2,2363,77,1133,21,1,0,1,7.7979,0.006349206349206349
39,1.8,368,11,105,19,0,0,0,0.14352,0.016981132075471698
223,4.5,1311,56,695,33,1,0,0,2.92353,0.00646551724137931
404,7.4,2081,63,1352,44,0,0,1,8.40724,0.005469327420546933
151,2.4,1003,25,392,39,0,0,0,1.51453,0.0061068702290076335
34,1.5,345,11,276,44,0,0,0,0.1173,0.005415162454873646
137,3.3,839,31,348,34,1,0,0,1.14943,0.009455587392550143
301,6.2,2053,75,1303,45,0,0,1,6.17953,0.004754601226993865
116,2.1,912,39,307,40,1,0,0,1.05792,0.006818181818181819
291,4.1,1474,46,827,32,1,0,0,4.28934,0.004951690821256038
84,1.4,501,16,284,56,1,1,0,0.42084,0.004912280701754385
134,2.5,1125,24,367,35,0,1,0,1.5075,0.006793478260869565
411,7.5,2169,72,1083,58,0,0,1,8.91459,0.006918819188191882
326,7.2,2243,73,1454,50,0,0,1,7.31218,0.004948453608247423
550,9.5,2916,91,1946,20,0,1,1,16.038,0.004879301489470981
516,12.0,2406,82,1968,28,1,0,1,12.41496,0.006094464195022855
59,1.2,361,18,293,25,1,0,0,0.21299,0.004081632653061224
225,5.5,1526,44,875,50,1,0,0,3.4335,0.006278538812785388
41,1.1,389,15,136,53,0,0,0,0.15949,0.008029197080291971
183,4.1,1210,45,738,19,0,0,0,2.2143,0.005548037889039242
174,2.5,929,37,565,32,1,0,0,1.61646,0.00441696113074205
274,4.2,1781,52,934,28,0,0,0,4.87994,0.004491978609625668
166,2.8,1113,28,360,25,0,0,0,1.84758,0.007756232686980609
66,1.2,585,12,264,36,0,0,0,0.3861,0.004528301886792453
152,2.7,642,38,596,55,0,0,0,0.97584,0.004522613065326634
54,1.4,403,17,278,23,1,0,0,0.21762,0.005017921146953405
187,5.5,1754,55,711,50,1,0,0,3.27998,0.007724719101123595
216,6.0,1641,41,889,39,1,0,0,3.54456,0.006741573033707865
95,3.8,718,26,459,41,1,0,0,0.6821,0.00826086956521739
488,8.6,2447,84,2344,19,0,0,1,11.94136,0.003667377398720682
295,5.1,1483,45,748,27,1,0,0,4.37485,0.006809078771695593
136,3.2,818,33,404,42,0,0,0,1.11248,0.007901234567901235
471,7.9,2156,76,1324,54,1,0,1,10.15476,0.005962264150943397
121,3.2,651,34,596,39,0,1,0,0.78771,0.005360134003350084
75,1.2,409,13,281,18,0,1,0,0.30675,0.00425531914893617
220,5.2,1631,49,909,27,1,1,0,3.5882,0.005714285714285714
82,1.6,590,13,124,28,1,0,0,0.4838,0.0128
97,2.7,1018,37,428,41,0,0,0,0.98746,0.006293706293706294
388,6.6,2085,71,1150,45,1,0,1,8.0898,0.005734144222415291
529,8.7,2484,89,2189,39,1,0,1,13.14036,0.003972602739726027
584,10.0,2541,99,2391,49,1,0,1,14.83944,0.004180602006688963
529,8.1,2686,96,1924,35,0,0,1,14.20894,0.004207792207792207
227,5.1,1702,57,714,21,0,0,0,3.86354,0.007132867132867132
535,11.8,2858,99,2378,50,0,0,1,15.2903,0.004960067255149222
332,7.4,2149,68,1321,20,1,1,1,7.13468,0.0055975794251134645
252,4.2,1439,45,667,50,1,0,0,3.62628,0.006287425149700599
125,2.5,678,34,465,31,0,0,0,0.8475,0.00536480686695279
97,3.3,751,39,412,36,1,0,0,0.72847,0.007990314769975786
540,10.8,2923,90,1886,40,0,0,1,15.7842,0.005723370429252783
320,7.2,2056,69,1226,52,1,0,1,6.5792,0.0058679706601467
176,3.6,1193,30,458,40,1,0,0,2.09968,0.00784313725490196
79,1.0,313,18,139,42,0,0,0,0.24727,0.007142857142857143
83,1.6,303,19,285,51,0,0,0,0.25149,0.005594405594405594
555,11.3,2528,90,1856,55,1,1,1,14.0304,0.006085083467959074
66,1.7,375,16,216,39,0,0,0,0.2475,0.00783410138248848
237,4.5,1368,42,868,24,1,0,0,3.24216,0.005178365937859608
497,9.7,2876,94,2076,18,0,0,1,14.29372,0.004670197400096292
516,11.1,2429,91,1796,53,0,0,1,12.53364,0.006176961602671119
219,5.2,1510,42,655,50,1,0,0,3.3069,0.007926829268292683
448,6.3,2044,71,1337,51,0,0,1,9.15712,0.0047085201793721975
156,2.2,896,37,429,57,1,1,0,1.39776,0.005116279069767442
68,1.1,528,12,201,29,0,0,0,0.35904,0.005445544554455446
524,11.2,2417,90,2069,29,1,1,1,12.66508,0.005410628019323671
188,5.3,1281,45,974,35,0,1,0,2.40828,0.005435897435897436
443,7.4,2289,73,1026,33,0,0,1,10.14027,0.0072054527750730285
52,1.6,385,19,234,24,0,0,0,0.2002,0.006808510638297873
228,4.2,1677,58,823,56,0,0,0,3.82356,0.005097087378640777
149,3.7,873,34,459,51,0,0,0,1.30077,0.008043478260869565
523,9.4,2583,92,1539,21,0,1,1,13.50909,0.0061038961038961045
42,1.6,315,19,207,52,1,0,0,0.1323,0.007692307692307693
120,2.0,741,38,396,56,1,0,0,0.8892,0.005037783375314861
329,7.5,2277,72,1185,27,1,0,1,7.49133,0.006323777403035413
68,1.5,364,10,102,31,1,0,0,0.24752,0.014563106796116505
158,3.4,893,36,493,32,0,0,0,1.41094,0.006882591093117409
86,1.7,439,19,136,54,0,0,0,0.37754,0.012408759124087591
339,7.8,2102,71,1062,51,0,0,1,7.12578,0.007337723424270931
304,6.5,2375,79,1493,51,0,0,1,7.22,0.004350736278447122
131,2.4,859,26,305,40,0,0,0,1.12529,0.00784313725490196
64,1.6,540,19,262,35,1,0,0,0.3456,0.006083650190114069
53,1.9,526,15,112,42,0,0,0,0.27878,0.016814159292035398
442,7.7,2067,69,1440,45,0,0,1,9.13614,0.0053435114503816794
32,2.0,469,18,139,22,0,1,0,0.15008,0.014285714285714285
278,4.8,1238,48,851,43,1,0,0,3.44164,0.005633802816901408
540,8.4,2993,98,1540,49,1,0,1,16.1622,0.0054510058403634005
595,11.3,2968,88,2366,30,0,0,1,17.6596,0.004773975496408957
35,1.5,467,10,158,58,0,0,0,0.16345,0.009433962264150943
225,5.4,1370,44,791,55,1,0,0,3.0825,0.006818181818181819
587,11.8,2431,90,1894,47,0,0,1,14.26997,0.006226912928759895
92,3.7,1124,27,524,44,0,0,0,1.03408,0.007047619047619048
46,1.1,487,17,208,23,0,0,0,0.22402,0.005263157894736843
153,2.8,935,25,578,37,1,0,0,1.43055,0.004835924006908463
368,6.6,1817,72,1406,27,1,1,1,6.68656,0.004690831556503198
51,1.6,509,11,113,29,1,0,0,0.25959,0.014035087719298246
279,5.2,1660,47,629,50,1,0,0,4.6314,0.008253968253968255
255,5.4,1738,42,826,21,0,0,0,4.4319,0.0065296251511487305
193,5.7,1471,51,972,31,1,0,0,2.83903,0.005858170606372046
207,5.7,1582,52,692,38,0,0,0,3.27474,0.008225108225108226
539,11.9,2853,83,2007,55,0,1,1,15.37767,0.005926294820717132
151,2.4,1124,38,571,33,0,0,0,1.69724,0.004195804195804196
474,6.4,2109,68,1079,24,0,0,1,9.99666,0.0059259259259259265
544,9.2,2936,83,2416,47,1,1,1,15.97184,0.003806371534960695
73,1.2,308,15,275,39,1,1,0,0.22484,0.004347826086956522
597,10.4,2984,91,1564,34,1,0,1,17.81448,0.006645367412140575
498,10.7,2738,94,1995,42,0,0,1,13.63524,0.005360721442885771
402,7.8,2014,79,1088,34,1,1,1,8.09628,0.007162534435261708
75,1.1,379,15,185,37,0,0,0,0.28425,0.0059139784946236566
130,2.0,602,21,589,30,1,1,0,0.7826,0.003389830508474576
42,1.1,402,11,265,32,1,0,0,0.16884,0.004135338345864662
134,2.2,917,23,423,23,0,1,0,1.22878,0.0051886792452830195
79,1.9,477,13,161,24,0,0,0,0.37683,0.011728395061728394
432,7.2,1822,63,1127,59,1,1,1,7.87104,0.006382978723404256
262,4.1,1287,52,997,36,0,1,0,3.37194,0.004108216432865731
473,6.4,2109,79,1300,23,1,0,1,9.97557,0.004919292851652575
202,4.7,1512,49,659,45,1,0,0,3.05424,0.007121212121212121
215,4.4,1407,41,991,47,0,0,0,3.02505,0.004435483870967742
151,3.7,1116,32,320,41,1,0,0,1.68516,0.011526479750778817
80,1.6,549,14,197,19,0,0,0,0.4392,0.00808080808080808
126,2.8,971,32,431,35,1,0,0,1.22346,0.006481481481481481
495,8.9,2920,84,2252,31,1,0,1,14.454,0.0039502885042166005
127,3.7,1153,35,314,37,1,1,0,1.46431,0.011746031746031747
88,1.3,327,11,262,22,0,0,0,0.28776,0.004942965779467681
69,1.6,463,16,146,27,0,0,0,0.31947,0.0108843537414966
100,3.3,961,21,433,25,0,0,0,0.961,0.0076036866359447
301,6.5,2084,71,1421,29,0,0,1,6.27284,0.004571026722925457
78,1.7,455,15,207,37,1,0,0,0.3549,0.008173076923076924
163,3.1,620,21,419,23,0,0,0,1.0106,0.007380952380952381
539,9.3,2606,92,1990,41,0,0,1,14.04634,0.00467101958814666
278,4.6,1385,47,823,40,1,0,0,3.8503,0.00558252427184466
451,6.1,2108,76,1434,25,1,0,1,9.50708,0.004250871080139372
481,10.9,2752,86,2017,18,0,0,1,13.23712,0.005401387512388504
133,3.4,714,38,445,25,0,0,0,0.94962,0.007623318385650224
41,1.1,588,10,246,22,0,0,0,0.24108,0.004453441295546559
152,3.3,1175,29,461,42,1,1,0,1.786,0.007142857142857143
553,8.4,2559,89,2471,51,0,0,1,14.15127,0.0033980582524271844
402,6.9,2282,78,1397,40,0,1,1,9.17364,0.004935622317596567
555,9.5,2855,95,1565,24,0,0,1,15.84525,0.006066411238825032
499,9.6,2873,81,1805,52,1,1,1,14.33627,0.005315614617940199
101,3.2,603,28,417,43,0,0,0,0.60903,0.007655502392344498
433,6.8,2093,75,1300,32,0,0,1,9.06269,0.005226748654880861
133,2.0,1007,31,417,32,0,0,0,1.33931,0.004784688995215311
351,6.1,1941,79,1290,21,1,0,1,6.81291,0.0047250193648334625
532,10.7,2556,83,2148,53,1,0,1,13.59792,0.004979060027919963
92,2.5,690,31,563,27,0,0,0,0.6348,0.004432624113475178
511,10.8,2712,97,2438,59,1,0,1,13.85832,0.004428044280442804
384,7.0,2185,72,1376,59,0,0,1,8.3904,0.005083514887436456
193,5.2,1318,49,626,32,1,1,0,2.54374,0.008293460925039872
132,3.8,649,25,368,41,0,0,0,0.85668,0.01029810298102981
360,7.3,1946,79,1164,50,0,0,1,7.0056,0.006266094420600858
159,2.3,1083,32,526,38,0,1,0,1.72197,0.004364326375711575
495,8.9,2855,91,2150,31,0,1,1,14.13225,0.004137610413761042
537,10.0,2720,83,1763,35,0,0,1,14.6064,0.005668934240362812
129,3.4,1059,27,580,36,1,0,0,1.36611,0.005851979345955249
132,3.8,636,28,529,53,0,1,0,0.83952,0.007169811320754717
37,1.4,369,18,295,19,1,0,0,0.13653,0.004729729729729729
524,8.9,2549,88,1730,20,1,0,1,13.35676,0.00514153668399769
425,6.9,2142,66,1130,19,1,0,1,9.1035,0.00610079575596817
64,1.7,585,13,107,53,0,0,0,0.3744,0.01574074074074074
573,10.8,2711,96,2118,33,1,1,1,15.53403,0.005096743747050496
45,1.7,302,16,191,57,1,0,0,0.1359,0.008854166666666666
564,11.7,2764,81,2133,37,1,0,1,15.58896,0.005482661668228678
162,3.5,761,36,338,51,0,0,0,1.23282,0.01032448377581121
451,6.5,2378,69,1341,44,0,0,1,10.72478,0.004843517138599106
30,1.3,479,16,253,35,0,0,0,0.1437,0.005118110236220472
202,5.0,1542,45,844,29,0,0,0,3.11484,0.005917159763313609
71,1.5,590,17,257,33,0,0,0,0.4189,0.005813953488372093
314,6.2,2205,63,1066,19,0,0,1,6.9237,0.005810684161199626
168,4.0,866,22,581,50,1,0,0,1.45488,0.006872852233676976
75,1.9,537,13,230,58,1,0,0,0.40275,0.008225108225108226
42,1.4,324,13,272,29,1,0,0,0.13608,0.005128205128205128
441,7.9,2332,78,1477,23,1,0,1,10.28412,0.005345060893098782
523,10.5,2460,99,1787,22,0,0,1,12.8658,0.00587248322147651
100,2.4,982,31,478,48,1,0,0,0.982,0.005010438413361169
52,1.2,398,14,172,24,1,0,0,0.20696,0.006936416184971098
397,7.0,2352,77,1101,46,1,0,1,9.33744,0.006352087114337568
424,7.7,1863,65,1116,52,0,0,1,7.89912,0.006893464637421665
272,5.0,1655,45,686,19,1,0,0,4.5016,0.00727802037845706
201,4.0,1791,50,914,18,0,0,0,3.59991,0.004371584699453552
570,9.0,2613,98,2497,49,1,0,1,14.8941,0.003602882305844676
64,1.3,490,14,151,43,1,0,0,0.3136,0.008552631578947369
334,6.6,2394,68,1227,46,1,1,1,7.99596,0.005374592833876222
518,9.6,2954,93,2125,34,1,1,1,15.30172,0.00451552210724365
70,1.7,359,10,109,57,0,0,0,0.2513,0.015454545454545453
334,6.8,2000,77,1079,40,1,1,1,6.68,0.006296296296296296
563,8.4,2849,85,1508,25,0,0,1,16.03987,0.005566600397614314
181,4.1,1608,43,752,22,1,1,0,2.91048,0.00544488711819389
584,9.4,2766,84,2151,32,0,0,1,16.15344,0.004368029739776952
208,4.7,1642,45,861,55,0,0,0,3.41536,0.005452436194895592
381,6.6,2160,69,1450,20,0,0,1,8.2296,0.004548587181254307
426,6.5,1969,78,1266,53,1,0,1,8.38794,0.005130228887134964
284,4.2,1360,56,888,51,0,0,0,3.8624,0.004724409448818898
105,2.2,1002,29,453,31,1,0,0,1.0521,0.004845814977973569
179,2.3,1014,32,588,38,0,0,0,1.81506,0.0039049235993208827
122,2.6,639,37,568,35,0,1,0,0.77958,0.004569420035149385
501,11.9,2702,88,1738,49,0,0,1,13.53702,0.006843013225991949
269,5.9,1666,42,629,32,1,0,0,4.48154,0.009365079365079366
230,4.4,1607,52,878,54,0,0,0,3.6961,0.005005688282138794
85,1.6,417,12,122,47,0,0,0,0.35445,0.013008130081300813
411,7.8,2029,75,1136,33,1,0,1,8.33919,0.006860158311345646
73,1.7,403,12,163,51,0,0,0,0.29419,0.010365853658536586
39,1.7,530,11,268,26,1,0,0,0.2067,0.006319702602230483
386,7.7,2114,72,1209,51,0,1,1,8.16004,0.006363636363636364
49,1.3,542,16,169,54,1,0,0,0.26558,0.007647058823529412
411,6.9,1820,70,1024,43,0,0,1,7.4802,0.0067317073170731715
534,10.8,2805,90,1538,37,0,0,1,14.9787,0.007017543859649123
314,7.4,2136,64,1376,47,1,0,1,6.70704,0.005374001452432825
211,4.0,1519,54,811,29,1,0,0,3.20509,0.0049261083743842365
121,3.7,619,36,473,47,0,0,0,0.74899,0.007805907172995781
84,1.2,415,10,146,50,0,0,0,0.3486,0.008163265306122448
448,7.6,2199,66,1047,28,0,0,1,9.85152,0.007251908396946565
55,1.6,360,19,149,30,0,0,0,0.198,0.010666666666666668
59,1.8,497,10,208,36,1,0,0,0.29323,0.00861244019138756
226,4.5,1781,45,649,27,1,0,0,4.02506,0.006923076923076923
580,8.5,2660,87,1795,52,0,0,1,15.428,0.004732739420935412
65,1.8,481,18,130,41,0,0,0,0.31265,0.013740458015267175
458,6.6,2214,67,1163,31,1,0,1,10.14012,0.005670103092783505
170,2.7,805,26,344,53,1,1,0,1.3685,0.00782608695652174
264,5.2,1641,44,778,44,0,1,0,4.33224,0.006675224646983312
122,3.3,748,35,499,59,1,0,0,0.91256,0.0066
420,6.5,2113,65,1314,35,0,0,1,8.8746,0.00494296577946768
267,4.4,1505,59,971,38,1,1,0,4.01835,0.004526748971193416
469,6.0,2290,67,1086,34,1,1,1,10.7401,0.005519779208831647
541,11.4,2443,89,1923,34,1,1,1,13.21663,0.0059251559251559255
155,2.9,1117,22,322,19,1,1,0,1.73135,0.008978328173374612
106,2.8,686,32,594,27,0,0,0,0.72716,0.004705882352941176
243,5.0,1232,47,877,43,0,0,0,2.99376,0.0056947608200455585
410,7.5,2176,68,1213,45,1,0,1,8.9216,0.006177924217462933
285,5.1,1226,57,666,20,1,1,0,3.4941,0.0076461769115442274
397,6.8,2027,66,1167,40,0,0,1,8.04719,0.005821917808219178
230,4.2,1507,51,868,25,1,0,0,3.4661,0.0048331415420023015
341,7.2,2397,68,1055,32,1,1,1,8.17377,0.006818181818181819
132,2.9,1054,32,563,20,0,0,0,1.39128,0.005141843971631205
130,3.0,820,21,308,49,1,0,0,1.066,0.009708737864077669
281,4.9,1566,59,632,29,0,1,0,4.40046,0.00774091627172196
74,2.0,320,11,103,55,1,0,0,0.2368,0.019230769230769232
299,4.3,1737,43,953,42,1,0,0,5.19363,0.004507337526205451
116,2.2,827,29,434,28,1,0,0,0.95932,0.005057471264367817
408,6.6,2026,63,1076,47,1,0,1,8.26608,0.006128133704735376
508,11.3,2590,81,2481,51,0,0,1,13.1572,0.004552780016116036
227,4.4,1275,56,984,22,1,1,0,2.89425,0.004467005076142132
274,6.0,1489,56,666,57,1,0,0,4.07986,0.008995502248875561
347,6.3,2001,61,1456,21,1,0,1,6.94347,0.004323953328757721
76,1.3,490,14,156,31,1,0,0,0.3724,0.008280254777070064
445,7.5,2007,78,1115,23,0,1,1,8.93115,0.006720430107526882
203,4.3,1554,54,638,25,1,0,0,3.15462,0.006729264475743349
199,6.0,1707,57,881,55,0,0,0,3.39693,0.006802721088435374
48,2.0,574,18,127,24,1,0,0,0.27552,0.015625
88,1.6,420,12,274,31,1,0,0,0.3696,0.005818181818181819
541,8.3,2865,89,1820,42,1,1,1,15.49965,0.00455793520043932
233,4.6,1534,49,796,21,1,0,0,3.57422,0.005771643663739021
176,3.8,727,36,362,47,1,1,0,1.27952,0.01046831955922865
191,6.0,1762,45,904,54,0,0,0,3.36542,0.0066298342541436465
461,7.5,2001,69,1324,34,1,0,1,9.22461,0.005660377358490566
37,1.5,375,18,246,46,1,0,0,0.13875,0.006072874493927126
531,9.8,2905,99,1632,45,1,0,1,15.42555,0.0060012247397428055
473,7.9,2292,62,1472,44,0,0,1,10.84116,0.005363204344874406
30,1.3,561,15,252,34,0,0,0,0.1683,0.005138339920948616
306,6.1,2267,70,1449,46,0,1,1,6.93702,0.004206896551724138
64,1.2,590,13,155,30,0,1,0,0.3776,0.007692307692307692
75,1.0,435,13,223,43,0,1,0,0.32625,0.004464285714285714
597,10.3,2718,90,1863,26,1,1,1,16.22646,0.005525751072961374
529,10.5,2971,87,1683,56,0,1,1,15.71659,0.006235154394299287
290,6.0,1533,54,645,57,1,1,0,4.4457,0.009287925696594427
256,5.8,1309,52,840,43,0,1,0,3.35104,0.006896551724137931
308,7.7,1974,73,1431,37,1,1,1,6.07992,0.0053770949720670395
156,3.3,1020,38,447,57,1,0,0,1.5912,0.007366071428571428
62,1.4,542,18,266,46,0,0,0,0.33604,0.005243445692883895
156,3.8,866,34,510,26,0,0,0,1.35096,0.007436399217221135
303,7.4,2314,66,1387,34,0,0,1,7.01142,0.0053314121037463975
463,6.9,2111,73,1463,54,0,0,1,9.77393,0.004713114754098361
60,1.5,593,14,281,35,1,0,0,0.3558,0.005319148936170213
225,4.6,1230,52,954,20,1,0,0,2.7675,0.0048167539267015705
379,7.5,1823,68,1075,53,1,0,1,6.90917,0.006970260223048327
53,1.4,455,14,106,54,1,0,0,0.24115,0.01308411214953271
30,1.9,574,19,287,45,0,0,0,0.1722,0.006597222222222222
291,4.1,1326,51,905,55,1,1,0,3.85866,0.004525386313465783
488,9.5,2840,92,1986,48,1,1,1,13.8592,0.004781077000503271
74,2.0,366,13,253,44,1,0,0,0.27084,0.007874015748031496
230,4.6,1325,55,845,54,1,0,0,3.0475,0.005437352245862883
517,11.8,2435,86,2208,26,0,0,1,12.58895,0.005341783612494342
557,10.4,2900,97,1609,22,0,0,1,16.153,0.006459627329192546
78,1.5,341,11,259,38,1,0,0,0.26598,0.0057692307692307696
321,7.9,2159,64,1499,45,0,1,1,6.93039,0.005266666666666667
579,8.6,2539,84,1935,34,0,0,1,14.70081,0.004442148760330578
382,7.2,1965,67,1341,22,0,0,1,7.5063,0.005365126676602086
516,11.6,2464,82,1767,29,1,0,1,12.71424,0.006561085972850679
598,11.2,2876,85,2477,58,1,0,1,17.19848,0.004519774011299434
102,3.9,747,36,408,49,1,0,0,0.76194,0.009535452322738386
165,2.4,816,35,503,34,0,1,0,1.3464,0.0047619047619047615
558,9.8,2765,83,1548,25,1,1,1,15.4287,0.0063266623628147195
561,10.6,2547,86,1823,22,0,0,1,14.28867,0.00581140350877193
511,10.9,2514,91,2335,59,1,0,1,12.84654,0.004666095890410959
560,11.3,2947,95,1663,25,1,0,1,16.5032,0.006790865384615385
69,1.3,434,12,164,42,0,0,0,0.29946,0.00787878787878788
44,1.1,531,17,232,26,0,0,0,0.23364,0.0047210300429184554
65,1.7,490,17,122,51,1,1,0,0.3185,0.013821138211382113
458,6.0,1875,63,1072,31,1,0,1,8.5875,0.005591798695246971
525,10.8,2445,99,1623,57,0,0,1,12.83625,0.006650246305418719
106,3.0,922,22,313,51,0,0,0,0.97732,0.009554140127388535
188,4.6,1767,47,653,34,0,1,0,3.32196,0.007033639143730886
493,10.4,2453,99,1813,39,0,1,1,12.09329,0.005733186328555679
84,1.5,373,19,299,37,1,0,0,0.31332,0.005
104,2.9,653,35,322,30,0,0,0,0.67912,0.008978328173374612
102,3.0,890,38,548,28,0,0,0,0.9078,0.00546448087431694
349,6.6,2041,78,1096,40,1,1,1,7.12309,0.006016408386508659
98,2.0,925,32,457,28,0,0,0,0.9065,0.004366812227074236
72,1.3,461,13,199,32,0,0,0,0.33192,0.006500000000000001
563,11.6,2968,92,2191,34,1,0,1,16.70984,0.005291970802919708
119,2.8,775,31,313,50,1,0,0,0.92225,0.008917197452229299
311,7.9,2231,69,1021,36,0,0,1,6.93841,0.007729941291585127
337,6.1,1901,76,1359,58,0,0,1,6.40637,0.004485294117647059
168,3.5,1055,29,313,54,0,0,0,1.7724,0.011146496815286623
